# SCAN_PARAMETERS
# scan_start: 2025-08-08T23:52:07.557284
# download_threshold: 10000, max_file_size_gb: 5.0, rate_limit_delay: 1.5, max_workers: 4
# target_extensions: .bin,.caffemodel,.coreml,.dlc,.ggjt,.ggmf,.ggml,.gguf,.h5,.keras,.llamafile,.mar,.mlmodel,.onnx,.pb,.pkl,.pt,.pt2,.pth,.ptl,.safetensors,.tflite
# output_format: error log
# END_PARAMETERS
repo_id,filename,error_type,reason,timestamp
meta-llama/Llama-3.1-8B,model-00002-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:38.275484
meta-llama/Llama-3.1-8B,model-00003-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:39.932264
meta-llama/Llama-3.1-8B,model-00004-of-00004.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:41.588699
meta-llama/Llama-3.2-11B-Vision-Instruct,model-00001-of-00005.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:43.276550
meta-llama/Llama-3.1-8B,original/consolidated.00.pth,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:43.364515
meta-llama/Llama-3.2-11B-Vision-Instruct,model-00002-of-00005.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:44.945620
meta-llama/Llama-3.2-11B-Vision-Instruct,model-00003-of-00005.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:46.636483
meta-llama/Llama-3.2-11B-Vision-Instruct,model-00004-of-00005.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:48.334954
meta-llama/Llama-3.2-11B-Vision-Instruct,model-00005-of-00005.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:50.031101
meta-llama/Llama-3.2-11B-Vision-Instruct,original/consolidated.pth,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:00:51.704987
google/t5-v1_1-xxl,pytorch_model.bin,file_too_large,File size 41.5GB exceeds limit,2025-08-09T00:00:59.069686
Salesforce/blip2-opt-2.7b,model-00001-of-00002.safetensors,file_too_large,File size 9.3GB exceeds limit,2025-08-09T00:00:59.645873
google/t5-v1_1-xxl,tf_model.h5,file_too_large,File size 41.5GB exceeds limit,2025-08-09T00:01:01.938780
Salesforce/blip2-opt-2.7b,pytorch_model-00001-of-00002.bin,file_too_large,File size 9.3GB exceeds limit,2025-08-09T00:01:04.074890
Salesforce/blip2-opt-2.7b,pytorch_model-00002-of-00002.bin,file_too_large,File size 5.1GB exceeds limit,2025-08-09T00:01:05.618571
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00001-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:28.475330
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00002-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:30.142918
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00003-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:32.331075
diffusers/stable-diffusion-xl-1.0-inpainting-0.1,unet/diffusion_pytorch_model.safetensors,file_too_large,File size 9.6GB exceeds limit,2025-08-09T00:01:33.974304
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00004-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:34.720935
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00005-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:36.416612
meta-llama/Llama-2-7b-hf,model-00001-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:36.972619
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00006-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:38.122489
meta-llama/Llama-2-7b-hf,model-00002-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:38.674874
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00007-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:39.840332
meta-llama/Llama-2-7b-hf,pytorch_model-00001-of-00002.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:40.362566
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00008-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:41.536187
meta-llama/Llama-2-7b-hf,pytorch_model-00002-of-00002.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:42.022056
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00009-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:43.221828
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00010-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:44.884835
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00011-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:46.568242
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00012-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:48.232651
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00013-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:49.914856
internlm/internlm-xcomposer2d5-7b,pytorch_model-00001-of-00003.bin,file_too_large,File size 9.3GB exceeds limit,2025-08-09T00:01:50.102287
meta-llama/Llama-4-Scout-17B-16E-Instruct,model-00014-of-00050.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-09T00:01:51.608362
internlm/internlm-xcomposer2d5-7b,pytorch_model-00002-of-00003.bin,file_too_large,File size 9.3GB exceeds limit,2025-08-09T00:01:51.641796
